active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
4,512,3,"[512, 2048, 2048]",1024,3371.79,7492.12,7.32,0,-3620332,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,512,0,"[512, 2048, 2048]",512,7492.12,263.12,0.26,84.55,0.55,240,320,4,1090.222,808.111,28234.222,222.0,97.444,33.667,30452.0,"[305, 244, 460, 460, 84]","[305, 244, 460, 460, 84]"
4,512,1,"[512, 2048, 2048]",512,263.12,525.46,0.51,84.55,0.81,240,320,4,1090.556,808.333,56454.444,220.0,97.222,33.0,58670.556,"[455, 238, 131, 56, 229]","[455, 238, 131, 56, 229]"
4,512,2,"[512, 2048, 2048]",512,525.46,2341.79,2.29,84.55,2.58,240,320,4,1090.333,808.222,252616.0,222.111,97.444,33.111,254834.111,"[167, 393, 167, 167, 167]","[167, 393, 167, 167, 167]"
4,512,3,"[512, 2048, 2048]",512,2341.79,6462.12,6.31,0,-2565612,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,512,0,"[512, 2048, 2048]",256,6462.12,132.12,0.13,83.55,0.42,240,320,4,1039.0,808.222,14154.0,114.778,50.0,17.889,16166.0,"[84, 60, 6, 6, 60]","[84, 60, 6, 6, 60]"
4,512,1,"[512, 2048, 2048]",256,132.12,394.46,0.39,83.55,0.68,240,320,4,1040.889,807.889,42344.0,115.111,51.556,18.889,44359.444,"[251, 251, 235, 135, 247]","[251, 251, 235, 135, 247]"
4,512,2,"[512, 2048, 2048]",256,394.46,1826.79,1.78,83.55,2.08,240,320,4,1039.556,808.111,196591.556,110.889,50.0,17.889,198600.111,"[124, 77, 77, 77, 77]","[124, 77, 77, 77, 77]"
4,512,3,"[512, 2048, 2048]",256,1826.79,5947.12,5.81,0,-2038252,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,512,0,"[512, 2048, 2048]",128,5947.12,66.62,0.07,83.05,0.36,240,320,4,1039.667,808.111,7132.333,60.556,26.333,10.444,9067.0,"[18, 70, 50, 13, 18]","[18, 70, 50, 13, 18]"
4,512,1,"[512, 2048, 2048]",128,66.62,328.96,0.32,83.05,0.62,240,320,4,1040.111,809.111,35309.556,61.556,27.222,12.222,37247.556,"[23, 70, 100, 100, 21]","[23, 70, 100, 100, 21]"
4,512,2,"[512, 2048, 2048]",128,328.96,1569.29,1.53,83.05,1.83,240,320,4,1039.333,808.111,168703.556,61.444,26.333,10.667,170638.778,"[7, 25, 17, 70, 7]","[7, 25, 17, 70, 7]"
4,512,3,"[512, 2048, 2048]",128,1569.29,5689.62,5.56,0,-1774572,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,512,0,"[512, 2048, 2048]",64,5689.62,33.88,0.03,82.8,0.33,240,320,4,1039.222,808.111,3623.111,33.556,14.444,6.444,5518.444,"[12, 21, 43, 43, 21]","[12, 21, 43, 43, 21]"
4,512,1,"[512, 2048, 2048]",64,33.88,296.21,0.29,82.8,0.58,240,320,4,1039.0,808.111,31793.889,33.0,14.556,6.667,33688.556,"[60, 11, 60, 60, 11]","[60, 11, 60, 60, 11]"
4,512,2,"[512, 2048, 2048]",64,296.21,1440.54,1.41,82.8,1.7,240,320,4,1038.889,808.111,154768.667,33.0,15.333,6.778,156664.0,"[27, 55, 27, 63, 46]","[27, 55, 27, 63, 46]"
4,512,3,"[512, 2048, 2048]",64,1440.54,5560.87,5.43,0,-1642732,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",1024,5560.87,1037.12,1.01,90.55,1.32,240,320,4,2140.778,1604.889,111914.333,435.0,191.444,63.778,116286.444,"[295, 182, 178, 295, 825]","[295, 182, 178, 295, 825]"
8,1024,1,"[1024, 4096, 4096]",1024,1037.12,2073.46,2.02,90.55,2.34,240,320,4,2141.222,1604.889,223816.111,422.889,191.444,62.889,228176.556,"[726, 792, 409, 726, 409]","[726, 792, 409, 726, 409]"
8,1024,2,"[1024, 4096, 4096]",1024,2073.46,9289.79,9.07,0,-5461148,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",1024,9289.79,25722.12,25.12,0,-22287852,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",512,25722.12,519.12,0.51,88.55,0.82,240,320,4,2140.889,1604.889,56016.333,221.556,96.333,33.0,60080.0,"[308, 316, 92, 208, 422]","[308, 316, 92, 208, 422]"
8,1024,1,"[1024, 4096, 4096]",512,519.12,1555.46,1.52,88.55,1.83,240,320,4,2141.222,1604.889,167907.333,216.889,97.222,33.0,171967.556,"[15, 236, 461, 183, 27]","[15, 236, 461, 183, 27]"
8,1024,2,"[1024, 4096, 4096]",512,1555.46,7235.79,7.07,0,-3357852,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",512,7235.79,23668.12,23.11,0,-20184556,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",256,22641.12,260.12,0.25,87.55,0.56,240,320,4,2154.111,1604.0,28084.889,114.556,50.889,17.667,32008.444,"[63, 243, 215, 105, 132]","[63, 243, 215, 105, 132]"
8,1024,1,"[1024, 4096, 4096]",256,260.12,1296.46,1.27,87.55,1.58,240,320,4,2155.556,1603.111,140070.0,114.667,51.333,17.556,143994.667,"[89, 126, 89, 231, 89]","[89, 126, 89, 231, 89]"
8,1024,2,"[1024, 4096, 4096]",256,1296.46,6208.79,6.06,0,-2306204,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",256,6208.79,22641.12,22.11,0,-19132908,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",128,22641.12,130.62,0.13,87.05,0.44,240,320,4,2154.111,1604.222,14099.333,61.667,26.889,10.667,17946.222,"[73, 49, 39, 50, 127]","[73, 49, 39, 50, 127]"
8,1024,1,"[1024, 4096, 4096]",128,130.62,1166.96,1.14,87.05,1.45,240,320,4,2155.556,1605.222,126078.222,61.0,28.0,11.222,129928.0,"[98, 2, 2, 53, 98]","[98, 2, 2, 53, 98]"
8,1024,2,"[1024, 4096, 4096]",128,1166.96,5695.29,5.56,0,-1780380,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",128,5695.29,22127.62,21.61,0,-18607084,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",64,22127.62,65.88,0.06,86.8,0.38,240,320,4,2155.0,1604.111,7105.222,35.0,15.444,6.667,10914.778,"[39, 39, 57, 15, 31]","[39, 39, 57, 15, 31]"
8,1024,1,"[1024, 4096, 4096]",64,65.88,1102.21,1.08,86.8,1.39,240,320,4,2154.111,1603.222,119080.778,34.889,15.444,6.556,122888.444,"[9, 18, 16, 16, 9]","[9, 18, 16, 16, 9]"
8,1024,2,"[1024, 4096, 4096]",64,1102.21,5438.54,5.31,0,-1517468,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",64,5438.54,21870.87,21.36,0,-18344172,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",1024,2073.46,1549.12,1.51,94.55,1.84,240,320,4,3222.333,2395.889,167476.333,436.222,191.111,64.667,173721.889,"[587, 202, 587, 346, 587]","[587, 202, 587, 346, 587]"
12,1536,1,"[1536, 6144, 6144]",1024,1549.12,3871.46,3.78,94.55,4.11,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,2,"[1536, 6144, 6144]",1024,3871.46,17767.79,17.35,0,-14142620,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",1024,17767.79,54704.12,53.42,0,-51965420,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",512,54704.12,775.12,0.76,92.55,1.08,240,320,4,3220.889,2396.222,83795.333,223.111,95.222,32.778,89730.778,"[476, 191, 358, 388, 289]","[476, 191, 358, 388, 289]"
12,1536,1,"[1536, 6144, 6144]",512,775.12,3097.46,3.02,92.55,3.35,240,320,4,3220.333,2397.333,334931.778,219.333,95.778,33.333,340864.556,"[75, 163, 182, 406, 161]","[75, 163, 182, 406, 161]"
