active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
4,512,0,"[512, 2048, 2048]",1024,1437.87,525.12,0.51,54.55,0.81,240,320,4,1090.0,808.0,56351.556,425.667,192.333,62.778,58867.556,"[522, 744, 815, 580, 603]","[522, 744, 815, 580, 603]"
4,512,1,"[512, 2048, 2048]",1024,525.12,787.46,0.77,54.55,1.06,240,320,4,1090.111,808.667,84596.0,435.111,192.556,63.444,87122.444,"[735, 462, 469, 626, 821]","[735, 462, 469, 626, 821]"
errore
errore
4,512,0,"[512, 2048, 2048]",512,3371.77,263.12,0.26,52.55,0.55,240,320,4,1089.778,809.0,28234.0,221.333,97.556,33.556,30451.667,"[502, 319, 302, 83, 257]","[502, 319, 302, 83, 257]"
4,512,1,"[512, 2048, 2048]",512,263.12,525.46,0.51,52.55,0.81,240,320,4,1089.444,808.778,56454.889,222.444,99.667,33.222,58675.222,"[192, 192, 289, 88, 192]","[192, 192, 289, 88, 192]"
4,512,2,"[512, 2048, 2048]",512,3371.79,2341.77,2.29,52.55,2.58,240,320,4,1089.556,809.222,252602.111,218.778,98.111,33.444,254817.778,"[237, 367, 242, 367, 345]","[237, 367, 242, 367, 345]"
4,512,3,"[512, 2048, 2048]",512,2341.77,6462.12,6.31,0,-2565612,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,512,0,"[512, 2048, 2048]",256,6462.12,132.12,0.13,51.55,0.42,240,320,4,1038.222,808.111,14154.556,113.444,50.222,17.889,16164.556,"[105, 125, 243, 243, 193]","[105, 125, 243, 243, 193]"
4,512,1,"[512, 2048, 2048]",256,132.12,394.46,0.39,51.55,0.68,240,320,4,1039.667,809.778,42343.0,113.667,52.444,19.0,44358.556,"[43, 100, 213, 213, 174]","[43, 100, 213, 213, 174]"
4,512,2,"[512, 2048, 2048]",256,394.46,1826.79,1.78,51.55,2.08,240,320,4,1040.667,809.667,196591.444,112.111,51.0,18.667,198604.889,"[58, 154, 162, 58, 38]","[58, 154, 162, 58, 38]"
4,512,3,"[512, 2048, 2048]",256,1826.79,5947.12,5.81,0,-2038252,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,512,0,"[512, 2048, 2048]",128,5947.12,66.62,0.07,51.05,0.36,240,320,4,1039.222,808.333,7132.889,60.667,26.333,10.444,9067.444,"[94, 55, 96, 69, 94]","[94, 55, 96, 69, 94]"
4,512,1,"[512, 2048, 2048]",128,66.62,328.96,0.32,51.05,0.62,240,320,4,1038.222,808.667,35309.111,59.778,26.444,10.444,37242.222,"[40, 40, 56, 56, 58]","[40, 40, 56, 56, 58]"
4,512,2,"[512, 2048, 2048]",128,328.96,1569.29,1.53,51.05,1.83,240,320,4,1039.667,808.111,168703.556,60.778,26.778,10.556,170638.889,"[77, 85, 60, 60, 60]","[77, 85, 60, 60, 60]"
4,512,3,"[512, 2048, 2048]",128,1569.29,5689.62,5.56,0,-1774572,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
4,512,0,"[512, 2048, 2048]",64,5689.62,33.88,0.03,50.8,0.33,240,320,4,1038.222,809.0,3622.222,33.444,14.556,6.556,5517.444,"[39, 22, 31, 50, 22]","[39, 22, 31, 50, 22]"
4,512,1,"[512, 2048, 2048]",64,33.88,296.21,0.29,50.8,0.58,240,320,4,1038.556,808.111,31792.0,33.222,14.333,7.333,33686.222,"[53, 59, 30, 59, 32]","[53, 59, 30, 59, 32]"
4,512,2,"[512, 2048, 2048]",64,296.21,1440.54,1.41,50.8,1.7,240,320,4,1038.444,808.333,154768.111,32.889,15.0,6.667,156662.778,"[61, 61, 61, 61, 61]","[61, 61, 61, 61, 61]"
4,512,3,"[512, 2048, 2048]",64,1440.54,5560.87,5.43,0,-1642732,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",1024,525.46,1037.12,1.01,58.55,1.32,240,320,4,2141.222,1603.889,111914.333,436.444,192.111,62.889,116288.0,"[876, 876, 117, 533, 876]","[876, 876, 117, 533, 876]"
8,1024,1,"[1024, 4096, 4096]",1024,1037.12,2073.46,2.02,58.55,2.34,240,320,4,2141.778,1604.222,223815.778,426.667,192.222,63.778,228180.667,"[613, 50, 206, 711, 613]","[613, 50, 206, 711, 613]"
8,1024,2,"[1024, 4096, 4096]",1024,2073.46,9289.79,9.07,0,-5461148,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",1024,9289.79,25722.12,25.12,0,-22287852,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",512,25722.12,519.12,0.51,56.55,0.82,240,320,4,2141.556,1604.0,56016.333,218.778,97.333,33.0,60078.0,"[151, 61, 301, 393, 451]","[151, 61, 301, 393, 451]"
8,1024,1,"[1024, 4096, 4096]",512,519.12,1555.46,1.52,56.55,1.83,240,320,4,2141.556,1603.889,167905.333,218.111,96.778,33.778,171965.667,"[253, 286, 275, 150, 153]","[253, 286, 275, 150, 153]"
8,1024,2,"[1024, 4096, 4096]",512,1555.46,7235.79,7.07,0,-3357852,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",512,7235.79,23668.12,23.11,0,-20184556,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",256,23668.12,260.12,0.25,55.55,0.56,240,320,4,2155.111,1605.222,28086.444,115.556,51.889,18.778,32014.222,"[225, 202, 141, 142, 202]","[225, 202, 141, 142, 202]"
8,1024,1,"[1024, 4096, 4096]",256,260.12,1296.46,1.27,55.55,1.58,240,320,4,2155.778,1603.333,140068.556,115.778,51.333,17.778,143994.778,"[182, 215, 25, 30, 182]","[182, 215, 25, 30, 182]"
8,1024,2,"[1024, 4096, 4096]",256,1296.46,6208.79,6.06,0,-2306204,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",256,6208.79,22641.12,22.11,0,-19132908,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",128,22641.12,130.62,0.13,55.05,0.44,240,320,4,2154.333,1604.222,14099.0,61.667,27.333,10.667,17946.556,"[128, 128, 90, 21, 128]","[128, 128, 90, 21, 128]"
8,1024,1,"[1024, 4096, 4096]",128,130.62,1166.96,1.14,55.05,1.45,240,320,4,2155.222,1605.0,126078.333,61.444,28.111,11.222,129928.111,"[65, 120, 65, 65, 67]","[65, 120, 65, 65, 67]"
8,1024,2,"[1024, 4096, 4096]",128,1166.96,5695.29,5.56,0,-1780380,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",128,5695.29,22127.62,21.61,0,-18607084,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,0,"[1024, 4096, 4096]",64,22127.62,65.88,0.06,54.8,0.38,240,320,4,2155.333,1604.0,7105.222,35.333,15.556,6.667,10915.444,"[30, 30, 17, 43, 12]","[30, 30, 17, 43, 12]"
8,1024,1,"[1024, 4096, 4096]",64,65.88,1102.21,1.08,54.8,1.39,240,320,4,2154.111,1603.111,119080.333,35.333,15.222,6.778,122888.111,"[19, 19, 10, 35, 19]","[19, 19, 10, 35, 19]"
8,1024,2,"[1024, 4096, 4096]",64,1102.21,5438.54,5.31,0,-1517468,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8,1024,3,"[1024, 4096, 4096]",64,5438.54,21870.87,21.36,0,-18344172,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",1024,21870.87,1549.12,1.51,62.55,1.84,240,320,4,3220.333,2398.0,167474.111,442.444,190.667,63.556,173725.556,"[976, 587, 11, 106, 828]","[976, 587, 11, 106, 828]"
12,1536,1,"[1536, 6144, 6144]",1024,1549.12,3871.46,3.78,62.55,4.11,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,2,"[1536, 6144, 6144]",1024,3871.46,17767.79,17.35,0,-14142620,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",1024,17767.79,54704.12,53.42,0,-51965420,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",512,54704.12,775.12,0.76,60.55,1.08,240,320,4,3219.889,2396.778,83795.778,222.111,94.556,32.889,89729.111,"[46, 337, 248, 323, 118]","[46, 337, 248, 323, 118]"
12,1536,1,"[1536, 6144, 6144]",512,775.12,3097.46,3.02,60.55,3.35,240,320,4,3221.778,2395.444,334928.556,219.222,96.778,33.667,340861.778,"[410, 426, 176, 247, 412]","[410, 426, 176, 247, 412]"
12,1536,2,"[1536, 6144, 6144]",512,3097.46,14689.79,14.35,0,-10990748,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",512,14689.79,51626.12,50.42,0,-48813548,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",256,51626.12,388.12,0.38,59.55,0.71,240,320,4,3206.111,2396.556,41948.444,114.111,48.111,18.0,47713.333,"[139, 23, 199, 23, 139]","[139, 23, 199, 23, 139]"
12,1536,1,"[1536, 6144, 6144]",256,388.12,2710.46,2.65,59.55,2.97,240,320,4,3207.667,2397.0,293077.778,114.0,49.222,17.889,298845.667,"[145, 36, 53, 182, 7]","[145, 36, 53, 182, 7]"
12,1536,2,"[1536, 6144, 6144]",256,2710.46,13150.79,12.84,0,-9414812,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",256,13150.79,50087.12,48.91,0,-47237612,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",128,50087.12,194.62,0.19,59.05,0.52,240,320,4,3207.333,2397.111,21028.111,61.0,24.889,10.889,26718.444,"[59, 60, 101, 19, 2]","[59, 60, 101, 19, 2]"
12,1536,1,"[1536, 6144, 6144]",128,194.62,2516.96,2.46,59.05,2.79,240,320,4,3205.444,2396.0,272149.111,59.111,23.778,9.333,277833.444,"[103, 84, 1, 88, 88]","[103, 84, 1, 88, 88]"
12,1536,2,"[1536, 6144, 6144]",128,2516.96,12381.29,12.09,0,-8626844,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",128,12381.29,49317.62,48.16,0,-46449644,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,0,"[1536, 6144, 6144]",64,49317.62,97.88,0.1,58.8,0.42,240,320,4,3212.714,2397.429,10567.857,34.571,12.714,7.143,16225.286,"[23, 7, 17, 47, 7]","[23, 7, 17, 47, 7]"
12,1536,1,"[1536, 6144, 6144]",64,97.88,2420.21,2.36,58.8,2.69,240,320,4,3208.143,2397.571,261685.571,34.857,12.714,6.857,267338.857,"[43, 27, 43, 43, 27]","[43, 27, 43, 43, 27]"
12,1536,2,"[1536, 6144, 6144]",64,2420.21,11996.54,11.72,0,-8232860,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
12,1536,3,"[1536, 6144, 6144]",64,11996.54,48932.87,47.79,0,-46055660,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",1024,48932.87,2061.12,2.01,66.55,2.36,240,320,4,4283.0,3203.0,223067.5,438.25,190.25,62.75,231182.0,"[694, 312, 312, 19]","[694, 312, 312, 19]"
16,2048,1,"[2048, 8192, 8192]",1024,2061.12,6181.46,6.04,0,-2278220,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",1024,6181.46,28805.79,28.13,0,-25445532,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",1024,28805.79,94438.12,92.22,0,-92653036,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",512,94438.12,1031.12,1.01,64.55,1.35,240,320,4,4283.222,3203.667,111584.0,224.889,96.111,33.444,119391.889,"[172, 89, 398, 98, 121]","[172, 89, 398, 98, 121]"
16,2048,1,"[2048, 8192, 8192]",512,1031.12,5151.46,5.03,0,-1223500,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",512,5151.46,24703.79,24.12,0,-21245084,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",512,24703.79,90336.12,88.22,0,-88452588,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",256,90336.12,516.12,0.5,63.55,0.85,240,320,4,4283.0,3202.333,55865.222,113.778,48.556,18.222,63512.889,"[69, 211, 147, 146, 142]","[69, 211, 147, 146, 142]"
16,2048,1,"[2048, 8192, 8192]",256,516.12,4636.46,4.53,0,-696140,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",256,4636.46,22652.79,22.12,0,-19144860,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",256,22652.79,88285.12,86.22,0,-86352364,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",128,88285.12,258.62,0.25,63.05,0.6,240,320,4,4284.667,3201.667,27987.0,61.333,24.5,10.5,35559.167,"[86, 116, 24, 25, 31]","[86, 116, 24, 25, 31]"
16,2048,1,"[2048, 8192, 8192]",128,258.62,4378.96,4.28,0,-432460,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",128,4378.96,21627.29,21.12,0,-18094748,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",128,21627.29,87259.62,85.21,0,-85302252,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,0,"[2048, 8192, 8192]",64,87259.62,129.88,0.13,62.8,0.47,240,320,4,4285.444,3202.778,14049.333,34.889,14.667,7.778,21587.111,"[36, 56, 56, 50, 49]","[36, 56, 56, 50, 49]"
16,2048,1,"[2048, 8192, 8192]",64,129.88,4250.21,4.15,0,-300620,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,2,"[2048, 8192, 8192]",64,4250.21,21114.54,20.62,0,-17569692,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
16,2048,3,"[2048, 8192, 8192]",64,21114.54,86746.87,84.71,0,-84777196,240,320,4,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
